cohort_month,users,avg_sessions,median_journey_days,fast_purchase_7d_pct,avg_first_purchase_revenue
2025-01,294,3.9081632653061225,11.57,0.2108843537414966,150.8206462585034
2025-02,275,4.058181818181819,11.03,0.22545454545454546,151.96734545454544
2025-03,309,3.9967637540453076,11.27,0.21359223300970873,167.10478964401293
2025-04,297,3.8922558922558923,10.46,0.21885521885521886,152.05003367003368
2025-05,307,4.009771986970684,11.33,0.19543973941368079,145.26521172638436
2025-06,301,3.993355481727575,11.27,0.17275747508305647,154.06438538205978
2025-07,309,4.019417475728155,11.21,0.1941747572815534,149.681715210356
2025-08,318,3.7327044025157234,10.31,0.24213836477987422,142.21622641509435
2025-09,335,4.107462686567164,11.23,0.191044776119403,154.88071641791046
2025-10,255,3.847058823529412,10.68,0.19607843137254902,161.0300392156863
