week_start,purchases,revenue,avg_time_to_purchase_min
2024-12-30,52,4751.219999999998,99.46672162339743
2025-01-06,67,5729.669999999996,85.11693796990049
2025-01-13,81,7371.630000000004,87.123008004321
2025-01-20,76,6909.240000000002,93.7263027991228
2025-01-27,85,8076.270000000003,93.66579743941176
2025-02-03,69,6141.869999999999,100.88983836376812
2025-02-10,80,6659.32,95.92712882916666
2025-02-17,84,7771.059999999997,84.97980988333333
2025-02-24,101,8761.879999999997,94.0486916849835
2025-03-03,73,6337.449999999999,89.79087055159818
2025-03-10,94,8449.470000000001,85.89318242039008
2025-03-17,77,6887.810000000002,92.54108600887446
2025-03-24,100,9646.240000000002,93.4491520205
2025-03-31,73,6584.34,87.28173836963471
2025-04-07,87,7682.450000000002,86.51525667490421
2025-04-14,88,8048.089999999999,93.71050712878788
2025-04-21,87,7852.689999999999,86.75421713390804
2025-04-28,71,6746.370000000002,86.47301036197183
2025-05-05,96,8386.849999999997,85.09592761458333
2025-05-12,85,7808.009999999999,86.47350340392157
2025-05-19,77,7268.62,85.58280581796537
2025-05-26,73,6750.53,88.55414542671232
2025-06-02,67,6362.29,98.41456041940299
2025-06-09,85,7884.61,88.98039303666667
2025-06-16,79,6964.629999999999,89.54762969641351
2025-06-23,68,6295.989999999999,79.89865784705883
2025-06-30,1,86.93,106.49610393333334
