signup_month,users,paid_users,conversion_rate,retention_30d,revenue_usd
2025-01,518,144,0.277992277992278,0.6388888888888888,7631.36
2025-02,498,127,0.25502008032128515,0.7007874015748031,7820.16
2025-03,466,157,0.3369098712446352,0.7006369426751592,10151.44
2025-04,490,120,0.24489795918367346,0.5666666666666667,8003.15
2025-05,501,130,0.25948103792415167,0.5538461538461539,7648.2
2025-06,518,149,0.2876447876447876,0.6375838926174496,9172.039999999999
2025-07,496,149,0.3004032258064516,0.5906040268456376,8658.52
2025-08,516,151,0.2926356589147287,0.6423841059602649,9968.82
2025-09,518,138,0.26640926640926643,0.6521739130434783,8094.88
2025-10,479,150,0.31315240083507306,0.6666666666666666,10286.09
